years,origin,usd2010
1950,Foreign,1671838.02
1950,Native,958514749.817
1951,Foreign,1476157.09
1951,Native,1062496042.167
1952,Foreign,1625312.61
1952,Native,1283459432.252
1953,Foreign,741680.87
1953,Native,933281194.411
1954,Foreign,1399358.89
1954,Native,1236035049.559
1955,Foreign,5242234.81
1955,Native,1389276196.341
1956,Foreign,9617603.333
1956,Native,1814278508.893
1957,Foreign,462607367.646
1957,Native,1598998497.021
1958,Foreign,3416375120.6879997
1958,Native,1507148953.484
1959,Foreign,418022854.788
1959,Native,2916376467.563
1960,Foreign,7502905544.114
1960,Native,2718801361.511
1961,Foreign,495249661.39
1961,Native,3644079812.922
1962,Foreign,17474479.74
1962,Native,7527443367.402
1963,Foreign,21192677.404999997
1963,Native,10568506107.219
1964,Foreign,32701368.216
1964,Native,8733919545.566
1965,Foreign,20868559.835
1965,Native,10737988033.114
1966,Foreign,292411710.124
1966,Native,14519347966.448
1967,Foreign,16233072889.403
1967,Native,13005521692.134
1968,Foreign,2401871745.194
1968,Native,14285398110.598
1969,Foreign,348356852.234
1969,Native,16906705999.703
1970,Foreign,1232831.861
1970,Native,18752651954.27
1971,Foreign,7297937.6729999995
1971,Native,26504772036.038
1972,Foreign,2042050.695
1972,Native,43872598711.755
1973,Foreign,15297487.103
1973,Native,42623297537.516
1974,Foreign,7444707.07
1974,Native,28925560441.19
1975,Foreign,7686916.42
1975,Native,36990538636.756
1976,Foreign,173642898.36200002
1976,Native,16384084579.901
1977,Foreign,345219643.816
1977,Native,31467126604.817
1978,Foreign,142424014.092
1978,Native,44594793363.904
1979,Foreign,89051810.45
1979,Native,68266364195.636
1980,Foreign,27496698.259
1980,Native,53963122912.306
1981,Foreign,29447246.145000003
1981,Native,42156923039.993
1982,Foreign,121266907.624
1982,Native,39926353483.352
1983,Foreign,394333509.525
1983,Native,69395168535.83
1984,Foreign,372122.68
1984,Native,69172891697.158
1985,Foreign,118975.65
1985,Native,59066742088.107
1986,Foreign,179225.03
1986,Native,72184941577.36
1987,Foreign,372934.07
1987,Native,77763498155.081
1988,Foreign,1106865.35
1988,Native,35953874394.836
1989,Foreign,1504443.09
1989,Native,30464709704.753
1990,Foreign,493164.3
1990,Native,8007655539.176
1991,Foreign,10329427.03
1991,Native,10615768324.648
1992,Foreign,10799977.562
1992,Native,10648323912.856
1993,Foreign,4805649.32
1993,Native,9672456625.81
1994,Foreign,1200376.51
1994,Native,13880014280.456
1995,Foreign,239060
1995,Native,9670444526.703
1996,Foreign,2032842.5050000001
1996,Native,13706469314.989
1997,Foreign,167184.92
1997,Native,18748057823.583
1998,Foreign,90929.68000000001
1998,Native,11891615861.119
1999,Foreign,170679.538
1999,Native,6120309090.797
2000,Foreign,244895.41
2000,Native,7808090506.81
2001,Foreign,20077.15
2001,Native,9802333139.03
2002,Foreign,1188763.306
2002,Native,9320075761.502
2003,Foreign,171220.62
2003,Native,8805335107.645
2004,Foreign,14905.96
2004,Native,10517491434.668
2005,Foreign,377810.76
2005,Native,9443749830.672
2006,Foreign,367832.88
2006,Native,11660220225.043
2007,Foreign,536752.22
2007,Native,12661300941.189
2008,Foreign,933839.85
2008,Native,14614940412.511
2009,Foreign,797330.3
2009,Native,20929751532.811
2010,Foreign,699139.54
2010,Native,17934255096.337
2011,Foreign,102035.55
2011,Native,18898749446.131
2012,Foreign,621646423.855
2012,Native,19268192606.37
2013,Foreign,20833836434.878002
2013,Native,19699369076.539
2014,Foreign,25045051227.628998
2014,Native,13727612366.24
2015,Foreign,57816729386.244
2015,Native,10167763178.609
2016,Foreign,82332428.514
2016,Native,10517085041.091
