years,reported,unreported,pct_unreported
1950,861918888.4,98267699.44,10.234229542932834
1951,957753113.09,106219086.17,9.983257668186829
1952,1164902071.02,120182673.84,9.352120497943735
1953,820501045.97,113521829.31,12.15407377211919
1954,1110215192.99,127219215.46,10.28088556381374
1955,1244692849.48,149825581.66,10.743893971879569
1956,1647268730.53,176627381.69,9.684070299103475
1957,1855336528.54,206269336.13,10.0052749977512
1958,4735185380.51,188338693.66,3.825282273891386
1959,2921853276.45,412546045.89,12.372424716080054
1960,9694210806.95,527496098.68,5.160548072352389
1961,3132093329.09,1007236145.22,24.33331657871713
1962,6559343272.55,985574574.59,13.062760848530578
1963,9815291630.25,774407154.37,7.31283457745478
1964,5182951527.39,3583669386.4,40.878571363372686
1965,6237929737.48,4520926855.47,42.02051413560476
1966,8954911938.19,5856847738.39,39.54187663232686
1967,27924532457.59,1314062123.95,4.494272528337059
1968,14919508536.21,1767761319.59,10.593472358664942
1969,15333768320.17,1921294531.76,11.134671303414585
1970,15949717656.37,2804167129.77,14.952460046264179
1971,24170704098.85,2341365874.85,8.83132051617485
1972,25767353903.37,18107286859.08,41.27050739199915
1973,38528651294.37,4109943730.25,9.639022411214235
1974,21335726650.85,7597278497.41,26.258172832305643
1975,33513449399.78,3484776153.39,9.418765633454615
1976,15324753368.25,1232974110.02,7.446517715901099
1977,30789509637.62,1022836611.02,3.2152190317107685
1978,44046679902.84,690537475.16,1.5435414083209813
1979,67170403631.3,1185012374.79,1.7336042175274353
1980,53050878431.67,939741178.89,1.7405637973197041
1981,40957597507.57,1228772778.57,2.9127245843516043
1982,39039796167.35,1007824223.63,2.5165645643629655
1983,68973504903.38,815997141.98,1.1692261988767867
1984,68273153109.02,900110710.82,1.3012407700817985
1985,57930413751.91,1136447311.85,1.9240015321336554
1986,71125549332.92,1059571469.47,1.4678530113853026
1987,76724794411.95,1039076677.19,1.3361946397947655
1988,34974307006.95,980674253.24,2.7275059501305323
1989,29577122141.16,889092006.68,2.9182884436037977
1990,6815344934.21,1192803769.26,14.894875375417888
1991,9473253227.01,1152844524.67,10.849180495142102
1992,9473700814.46,1185423075.96,11.121205533837651
1993,8407783535.36,1269478739.76,13.118159905863028
1994,12584324364.62,1296890292.34,9.34277240421279
1995,8044832043.73,1625851542.97,16.812167706593343
1996,12822152944.3,886349213.19,6.465689708526762
1997,17802667085.34,945557923.16,5.0434530347875945
1998,11034867588.24,856839202.56,7.205350902385958
1999,5121517162.18,998962608.15,16.321638917795795
2000,6617924488.51,1190410913.71,15.245386531059518
2001,8634430777.88,1167922438.3,11.914714890830492
2002,8051902764.87,1269361759.94,13.617913712902318
2003,7592712923.59,1212793404.68,13.773125127243818
2004,9344258053.12,1173248287.51,11.155194487286824
2005,8224643434.55,1219484206.89,12.912618858929974
2006,10378035570.27,1282552487.65,10.999037795344089
2007,11433793849.42,1228043843.99,9.698780490837832
2008,12650679023.82,1965195228.54,13.445622168120961
2009,19691857004.53,1238691858.58,5.918104998972047
2010,15921673810.34,2013280425.54,11.225456162649728
2011,13520402163.29,5378449318.39,28.459133210310235
2012,17824614172.56,2065224857.67,10.383316096883053
2013,38491906586.67,2041298924.74,5.0361152023009375
2014,36004673794.57,2767989799.3,7.1390241028930035
2015,66035528943.95,1948963620.91,2.866776741843897
2016,8432900593.98,2166516875.63,20.439961741687263
