years,taxon,usd2010
1950,brazilian sardinella,253230137.5
1951,brazilian sardinella,240684057.669
1952,brazilian sardinella,228793720.143
1953,brazilian sardinella,201450176.803
1954,brazilian sardinella,180570773.353
1955,brazilian sardinella,238406377.071
1956,brazilian sardinella,397888703.844
1957,brazilian sardinella,298512024.771
1958,brazilian sardinella,240248190.16
1959,brazilian sardinella,309517665.984
1960,brazilian sardinella,459612270.049
1961,brazilian sardinella,787378364.958
1962,brazilian sardinella,2164940943.324
1963,brazilian sardinella,4727210968.682
1964,brazilian sardinella,2255139010.865
1965,brazilian sardinella,3277954278.551
1966,brazilian sardinella,5195394078.036
1967,brazilian sardinella,7700156812.155
1968,brazilian sardinella,7039388943.31
1969,brazilian sardinella,10959630770.661
1970,brazilian sardinella,8023258150.57
1971,brazilian sardinella,15389919773.956
1972,brazilian sardinella,26792143546.442
1973,brazilian sardinella,25737653993.903
1974,brazilian sardinella,13418578536.434
1975,brazilian sardinella,25990655843.988
1976,brazilian sardinella,6379952142.666
1977,brazilian sardinella,23058634344.798
1978,brazilian sardinella,37978226673.199
1979,brazilian sardinella,56589122667.667
1980,brazilian sardinella,46252365861.349
1981,brazilian sardinella,32958344861.787
1982,brazilian sardinella,31222969511.657
1983,brazilian sardinella,62098702563.219
1984,brazilian sardinella,59319257436.848
1985,brazilian sardinella,47805678261.379
1986,brazilian sardinella,62644156651.471
1987,brazilian sardinella,70767598961.383
1988,brazilian sardinella,28414997031.591
1989,brazilian sardinella,24225231329.603
1990,brazilian sardinella,1018616226.588
1991,brazilian sardinella,4035590183.715
1992,brazilian sardinella,4050550204.75
1993,brazilian sardinella,2611132136.916
1994,brazilian sardinella,6715480571.822
1995,brazilian sardinella,3539661481.595
1996,brazilian sardinella,9079287965.792
1997,brazilian sardinella,13579097342.706
1998,brazilian sardinella,7253732541.707
1999,brazilian sardinella,726348139.859
2000,brazilian sardinella,359499198.816
2001,brazilian sardinella,2447354967.627
2002,brazilian sardinella,1080071684.485
2003,brazilian sardinella,1024590839.843
2004,brazilian sardinella,3655114452.947
2005,brazilian sardinella,2272418935.771
2006,brazilian sardinella,3570526634.131
2007,brazilian sardinella,4123455852.367
2008,brazilian sardinella,7269326841.968
2009,brazilian sardinella,13493335292.697
2010,brazilian sardinella,10955420773.985
2011,brazilian sardinella,5764829362.713
2012,brazilian sardinella,9425590546.343
2013,brazilian sardinella,9902156746.468
2014,brazilian sardinella,3096990930.082
2015,brazilian sardinella,2205597143.985
2016,brazilian sardinella,2258853266.964
1950,whitemouth croaker,262200277.402
1951,whitemouth croaker,332383599.935
1952,whitemouth croaker,396064297.338
1953,whitemouth croaker,223997623.566
1954,whitemouth croaker,412384442.774
1955,whitemouth croaker,395623692.169
1956,whitemouth croaker,531271464.324
1957,whitemouth croaker,326189488.336
1958,whitemouth croaker,385780374.744
1959,whitemouth croaker,1158450714.682
1960,whitemouth croaker,738483283.558
1961,whitemouth croaker,747467181.8
1962,whitemouth croaker,2278880312.159
1963,whitemouth croaker,1336719273.789
1964,whitemouth croaker,933045115.41
1965,whitemouth croaker,1594725610.288
1966,whitemouth croaker,3130125457.624
1967,whitemouth croaker,1986546785.242
1968,whitemouth croaker,1876360087.918
1969,whitemouth croaker,1006695887.595
1970,whitemouth croaker,1353870566.89
1971,whitemouth croaker,2247717136.315
1972,whitemouth croaker,2636373424.445
1973,whitemouth croaker,2848459734.018
1974,whitemouth croaker,3359449487.507
1975,whitemouth croaker,2500925770.721
1976,whitemouth croaker,2371504939.805
1977,whitemouth croaker,2735733812.412
1978,whitemouth croaker,1920228741.119
1979,whitemouth croaker,612870959.253
1980,whitemouth croaker,807207865.05
1981,whitemouth croaker,686282131.609
1982,whitemouth croaker,905174361.345
1983,whitemouth croaker,1222761413.49
1984,whitemouth croaker,1248317150.883
1985,whitemouth croaker,840098788.102
1986,whitemouth croaker,848896563.078
1987,whitemouth croaker,938782240.78
1988,whitemouth croaker,836015574.253
1989,whitemouth croaker,728118209.699
1990,whitemouth croaker,506079667.919
1991,whitemouth croaker,519675243.851
1992,whitemouth croaker,476721906.098
1993,whitemouth croaker,649804089.062
1994,whitemouth croaker,641702010.859
1995,whitemouth croaker,668007788.917
1996,whitemouth croaker,470480484.631
1997,whitemouth croaker,510010703.077
1998,whitemouth croaker,663820975.003
1999,whitemouth croaker,380684440.32
2000,whitemouth croaker,597917061.533
2001,whitemouth croaker,1288507936.14
2002,whitemouth croaker,1424852268.922
2003,whitemouth croaker,1276877157.77
2004,whitemouth croaker,1092591227.775
2005,whitemouth croaker,1076174515.229
2006,whitemouth croaker,1755053593.092
2007,whitemouth croaker,1556337001.673
2008,whitemouth croaker,984717072.394
2009,whitemouth croaker,982982876.735
2010,whitemouth croaker,1330757821.875
2011,whitemouth croaker,1797693598.823
2012,whitemouth croaker,2121788668.391
2013,whitemouth croaker,1590586328.337
2014,whitemouth croaker,2297594764.655
2015,whitemouth croaker,1866586087.683
2016,whitemouth croaker,1955860079.684
1950,argentine shortfin squid,0
1951,argentine shortfin squid,0
1952,argentine shortfin squid,0
1953,argentine shortfin squid,0
1954,argentine shortfin squid,0
1955,argentine shortfin squid,0
