years,usd2010
1950,960186587.84
1951,1063972199.26
1952,1285084744.8700001
1953,934022875.28
1954,1237434408.45
1955,1394518431.1499999
1956,1823896112.22
1957,2061605864.67
1958,4923524074.17
1959,3334399322.34
1960,10221706905.63
1961,4139329474.31
1962,7544917847.14
1963,10589698784.61
1964,8766620913.78
1965,10758856592.95
1966,14811759676.58
1967,29238594581.539997
1968,16687269855.800001
1969,17255062851.94
1970,18753884786.14
1971,26512069973.71
1972,43874640762.450005
1973,42638595024.61
1974,28933005148.27
1975,36998225553.18
1976,16557727478.259998
1977,31812346248.64
1978,44737217378
1979,68355416006.079994
1980,53990619610.55
1981,42186370286.14
1982,40047620390.97
1983,69789502045.36
1984,69173263819.85
1985,59066861063.759995
1986,72185120802.38
1987,77763871089.14
1988,35954981260.19
1989,30466214147.84
1990,8008148703.47
1991,10626097751.68
1992,10659123890.42
1993,9677262275.119999
1994,13881214656.96
1995,9670683586.7
1996,13708502157.49
1997,18748225008.49
1998,11891706790.800001
1999,6120479770.32
2000,7808335402.22
2001,9802353216.18
2002,9321264524.79
2003,8805506328.27
2004,10517506340.62
2005,9444127641.44
2006,11660588057.93
2007,12661837693.4
2008,14615874252.37
2009,20930548863.1
2010,17934954235.88
2011,18898851481.68
2012,19889839030.22
2013,40533205511.41
2014,38772663593.86
2015,67984492564.86
2016,10599417469.6
