years,usd2010,pct_foreign,pct_unreported,dif_msy,pct_msy,pct_avg,score
1950,89640143.96,0.0012334540654096225,84.30179952108348,1211684467.92,72.72512036262388,60.495678812604105,39.504321187395895
1951,92179423.27,0.8514705117470773,84.13161991831713,1209145188.6100001,72.57271319859456,60.54024600516957,39.45975399483043
1952,98612594.22,2.3418994249840153,74.17947516864551,1202712017.66,72.18659524128906,58.61623206349933,41.38376793650067
1953,89901235.61999999,5.118574636457388,74.99774889078437,1211423376.2600002,72.70944968027887,59.64893451361568,40.35106548638432
1954,98497472.25999999,7.349480135860589,69.91102792793639,1202827139.6200001,72.19350484409328,58.76820451921536,41.23179548078464
1955,132499716.53,7.978826205298209,76.15087143009453,1168824895.3500001,70.1526952335022,58.91755666717987,41.08244333282013
1956,122120241.75,11.164323343361765,68.77444904009946,1179204370.13,70.77566975588103,58.453156330220864,41.546843669779136
1957,137077134.47,14.692329413860053,68.19145843062356,1164247477.41,69.8779592940311,58.50353314531539,41.49646685468461
1958,149498911.64,23.30901250367803,72.22321439852746,1151825700.2400002,69.13240608795866,60.58588903321629,39.41411096678371
1959,229683626.17,22.828956024561602,72.31171940149588,1071640985.7100002,64.31973152636486,57.619974001030414,42.380025998969586
1960,284079979.01,20.21956111210438,72.21943335991942,1017244632.8700001,61.05487057261535,55.12072123797397,44.87927876202603
1961,272142765.51,18.575062803024977,67.20788507357152,1029181846.3700001,61.771340339758694,54.21939377917452,45.78060622082548
1962,287354596.6,23.208704692585442,63.040708488182915,1013970015.2800001,60.85832851510832,53.764879745218664,46.235120254781336
1963,307273360.44,23.850536154768886,66.26314188071565,994051251.44,59.66280729148038,53.82041998198514,46.17958001801486
1964,360263921.69,29.011246868908998,62.013333936402695,941060690.19,56.48232173850085,52.09430920416285,47.90569079583715
1965,384845210.97999996,31.19526546732439,62.609664474302605,916479400.9000001,55.006956435393114,51.76515984956127,48.23484015043873
1966,431315581.99,32.23052159519103,56.76400743056772,870009029.8900001,52.2178117244772,49.129592839838075,50.870407160161925
1967,441569042.52,38.574106430822475,58.25901626660076,859755569.3600001,51.6024005585177,50.32806487459527,49.67193512540473
1968,496508335.91,36.91784180539357,58.521740202670394,804816275.97,48.30495239424111,48.070887838157454,51.929112161842546
1969,594437371.03,39.05148434495509,56.04109829070484,706887240.8500001,42.42726636734733,44.47487634754039,55.52512365245961
1970,679221614.62,51.048345046620945,44.15903661396352,622102997.2600001,37.33852876017031,41.444593588219085,58.555406411780915
1971,778352744.7,54.73294675200915,44.120460708641986,522971867.18000007,31.388693173743604,38.60389739637639,61.39610260362361
1972,840474182.72,47.1455732811648,48.46725449160662,460850429.1600001,27.66017376401716,35.71866981296458,64.28133018703542
1973,1272574173.03,51.240431371354944,44.886728946410415,28750438.850000143,1.7255970355333181,20.26079028487306,79.73920971512695
1974,1032664525.74,48.927457736484556,45.04128355452032,268660086.1400001,16.124938148876563,28.468711147526914,71.53128885247308
1975,1226170262.1599998,45.26026196874238,43.01700562572234,75154349.72000027,4.510752818796228,20.361905210170683,79.63809478982932
1976,994928483.25,44.50310717051982,45.33250406724314,306396128.6300001,18.38984976964311,29.00103210933846,70.99896789066153
1977,1144842134.45,50.424684934819076,39.21011575064501,156482477.43000007,9.392054868272599,23.562193058056376,76.43780694194362
1978,1338426615.95,50.382236005845826,43.203201306600555,37102004.06999993,2.226856729720377,20.053201500321503,79.9467984996785
1979,1492025911.5,53.83953918566433,50.89550579765517,190701299.6199999,11.445863453198083,27.81452706858275,72.18547293141725
1980,1499668347.57,49.32620501453852,49.493344917407114,198343735.68999982,11.904561321966256,26.90664677956888,73.09335322043111
1981,1318867601.63,59.148656953711765,50.864948944147336,17542989.75,1.0529276184245528,22.63447775062655,77.36552224937344
1982,1099007869.17,49.48013246617282,49.65924530159531,202316742.71000004,12.143020608505648,27.113687918657014,72.886312081343
1983,883076887.69,40.2796186225941,48.83804261123386,418247724.19000006,25.103165789791674,32.8854317206406,67.1145682793594
1984,1091454732.22,33.30371998616866,49.593658942140586,209869879.6600001,12.596358757460449,24.137291040138116,75.86270895986189
1985,1018199350.76,24.93118378717006,48.34683349705183,283125261.1200001,16.993135785587025,24.85148492819659,75.14851507180342
1986,1596403295.41,28.232882910461054,55.99972332808303,295078683.53,17.710578409081908,27.472868293157962,72.52713170684204
1987,1626269302.48,24.70377435544288,53.571620612368676,324944690.5999999,19.503131682167293,27.35695800286269,72.64304199713732
